cleaned_text,sentimen,text_without_stopwords,test_nltk,tokens
menikah adalah hal yang baik konsekuensinya adalah harus setia satu sama lain dan penuh kasih sayang kalau kesetiaan dan kasih sayang itu tidak terpenuhi maka terjadilah perselingkuhan dan kdrt,positif,menikah hal baik konsekuensinya setia satu sama penuh kasih sayang kesetiaan kasih sayang terpenuhi terjadilah perselingkuhan kdrt,menikah konsekuensinya setia penuh kasih sayang kesetiaan kasih sayang terpenuhi perselingkuhan kdrt,"['menikah', 'hal', 'baik', 'konsekuensinya', 'setia', 'satu', 'sama', 'penuh', 'kasih', 'sayang', 'kesetiaan', 'kasih', 'sayang', 'terpenuhi', 'terjadilah', 'perselingkuhan', 'kdrt']"
pelaku kdrt ini sepertinya bisa dipercaya kalau dia sudah masuk penjara deh kak,positif,pelaku kdrt sepertinya dipercaya masuk penjara kak,pelaku kdrt dipercaya masuk penjara kak,"['pelaku', 'kdrt', 'sepertinya', 'dipercaya', 'masuk', 'penjara', 'kak']"
solusi tolol pantas kamu menormalisasi kdrt,negatif,solusi tolol pantas menormalisasi kdrt,solusi tolol menormalisasi kdrt,"['solusi', 'tolol', 'pantas', 'menormalisasi', 'kdrt']"
mengapa sekarang banyak wanita independen karena jaman orang tua kita wanita itu tidak dihargai karena tidak bekerja banyak kdrt perselingkuhan dan lainlainnya oleh karena itu ibu cenderung menekan anak perempuannya untuk menjadi mandiri dan independen agar nasibnya tidak seperti dia,negatif,sekarang banyak wanita independen jaman orang tua wanita dihargai bekerja banyak kdrt perselingkuhan lainlainnya ibu cenderung menekan anak perempuannya menjadi mandiri independen nasibnya seperti,wanita independen jaman orang tua wanita dihargai kdrt perselingkuhan lainlainnya cenderung menekan anak perempuannya mandiri independen nasibnya,"['sekarang', 'banyak', 'wanita', 'independen', 'jaman', 'orang', 'tua', 'wanita', 'dihargai', 'bekerja', 'banyak', 'kdrt', 'perselingkuhan', 'lainlainnya', 'ibu', 'cenderung', 'menekan', 'anak', 'perempuannya', 'menjadi', 'mandiri', 'independen', 'nasibnya', 'seperti']"
nah berarti benar dugaan uah sabar mbak ketidaktahuan dan bukan pilihan mbaknya anggap saja ujian menurut saya selama tidak selingkuh dan kdrt ditambah judol dan narkoba kasus sekarang harusnya semua bisa bicara,positif,berarti benar dugaan uah sabar mbak ketidaktahuan bukan pilihan mbaknya anggap ujian selama selingkuh kdrt ditambah judol narkoba kasus sekarang harusnya bicara,dugaan uah sabar mbak ketidaktahuan pilihan mbaknya anggap ujian selingkuh kdrt ditambah judol narkoba bicara,"['berarti', 'benar', 'dugaan', 'uah', 'sabar', 'mbak', 'ketidaktahuan', 'bukan', 'pilihan', 'mbaknya', 'anggap', 'ujian', 'selama', 'selingkuh', 'kdrt', 'ditambah', 'judol', 'narkoba', 'kasus', 'sekarang', 'harusnya', 'bicara']"
saya tidak diam saja jika ada tetangga mengalami kekerasan dalam rumah tangga suaminya bahkan saya pukul sampai saya hampir dilaporkan ke polisi,negatif,diam jika tetangga mengalami kekerasan rumah tangga suaminya pukul hampir dilaporkan polisi,diam tetangga mengalami kekerasan rumah tangga suaminya dilaporkan polisi,"['diam', 'jika', 'tetangga', 'mengalami', 'kekerasan', 'rumah', 'tangga', 'suaminya', 'pukul', 'hampir', 'dilaporkan', 'polisi']"
anak anak korban kdrt tuh antara mau tidak ingin memiliki anak karena tidak mau keturunannya merasakan hal yang dulu alami atau mau punya anak yang akan disayang banget agar tidak merasakan yang dulu alami,positif,anak anak korban kdrt tuh mau ingin memiliki anak mau keturunannya merasakan dulu alami mau punya anak disayang banget merasakan dulu alami,anak anak korban kdrt tuh memiliki anak keturunannya merasakan alami anak disayang banget merasakan alami,"['anak', 'anak', 'korban', 'kdrt', 'tuh', 'mau', 'ingin', 'memiliki', 'anak', 'mau', 'keturunannya', 'merasakan', 'dulu', 'alami', 'mau', 'punya', 'anak', 'disayang', 'banget', 'merasakan', 'dulu', 'alami']"
ini mah nanti kalau sudah rumah tangga malah ceweknya yang kdrt lakinya,negatif,rumah tangga ceweknya kdrt lakinya,rumah tangga ceweknya kdrt lakinya,"['rumah', 'tangga', 'ceweknya', 'kdrt', 'lakinya']"
ini demonstrasi apa ya katanya ada pejabat papua yang memukul istrinya hentikan kekerasan jangan memukul perempuan itu makhluk yang lemah,negatif,demonstrasi apa katanya pejabat papua memukul istrinya hentikan kekerasan jangan memukul perempuan makhluk lemah,demonstrasi pejabat papua memukul istrinya hentikan kekerasan memukul perempuan makhluk lemah,"['demonstrasi', 'apa', 'katanya', 'pejabat', 'papua', 'memukul', 'istrinya', 'hentikan', 'kekerasan', 'jangan', 'memukul', 'perempuan', 'makhluk', 'lemah']"
anjir teman saya terkena kdrt sama cowoknya,negatif,teman terkena kdrt sama cowoknya,teman terkena kdrt cowoknya,"['teman', 'terkena', 'kdrt', 'sama', 'cowoknya']"
masih tidak masuk akal di otakku hubungan rumah tangga yang toksiknya mendarah daging sudah di taraf kdrt bahkan sudah percobaan pembunuhan kok masih balikan lagi anjing masokis kah nyawa bedua,negatif,masuk akal otakku hubungan rumah tangga toksiknya mendarah daging taraf kdrt percobaan pembunuhan kok balikan anjing masokis nyawa bedua,masuk akal otakku hubungan rumah tangga toksiknya mendarah daging taraf kdrt percobaan pembunuhan balikan anjing masokis kah nyawa bedua,"['masuk', 'akal', 'otakku', 'hubungan', 'rumah', 'tangga', 'toksiknya', 'mendarah', 'daging', 'taraf', 'kdrt', 'percobaan', 'pembunuhan', 'kok', 'balikan', 'anjing', 'masokis', 'nyawa', 'bedua']"
ini kejadian pada kakak saya setelah awal menikah sempat ke rumah besan lalu jajan di warung dekat situ pemilik warung heran kok mau besanan dengan keluarga yang pelit dan galak soal pohon buah ternyata benar kdrt dan keluarganya membela pelaku,negatif,kejadian kakak awal menikah sempat rumah besan lalu jajan warung dekat situ pemilik warung heran kok mau besanan keluarga pelit galak soal pohon buah ternyata benar kdrt keluarganya membela pelaku,kejadian kakak menikah rumah besan jajan warung situ pemilik warung heran besanan keluarga pelit galak pohon buah kdrt keluarganya membela pelaku,"['kejadian', 'kakak', 'awal', 'menikah', 'sempat', 'rumah', 'besan', 'lalu', 'jajan', 'warung', 'dekat', 'situ', 'pemilik', 'warung', 'heran', 'kok', 'mau', 'besanan', 'keluarga', 'pelit', 'galak', 'soal', 'pohon', 'buah', 'ternyata', 'benar', 'kdrt', 'keluarganya', 'membela', 'pelaku']"
belum tahu saja mereka kalau cowok korea tidak seromantis seperti di drakor dan lebih senang kdrt,negatif,tahu cowok korea seromantis drakor lebih senang kdrt,cowok korea seromantis drakor senang kdrt,"['tahu', 'cowok', 'korea', 'seromantis', 'drakor', 'lebih', 'senang', 'kdrt']"
tidak sangka ternyata plot nya cukup serius dengan bawa isu kdrt begini kukira ini drama yang tiap eps nya fuwafuwa dan mengharukan doang,negatif,sangka ternyata plot nya cukup serius bawa isu kdrt begini kukira drama eps nya fuwafuwa mengharukan doang,sangka plot nya serius bawa isu kdrt kukira drama eps nya fuwafuwa mengharukan doang,"['sangka', 'ternyata', 'plot', 'nya', 'cukup', 'serius', 'bawa', 'isu', 'kdrt', 'begini', 'kukira', 'drama', 'eps', 'nya', 'fuwafuwa', 'mengharukan', 'doang']"
di rumah suka kdrt nih orang seperti begini,negatif,rumah suka kdrt nih orang begini,rumah suka kdrt nih orang,"['rumah', 'suka', 'kdrt', 'nih', 'orang', 'begini']"
di mana mana wanita itu ratu berlagak seperti korban di yang mulai kasar dibalik kasar teriak kdrt,negatif,mana mana wanita ratu berlagak korban mulai kasar dibalik kasar teriak kdrt,wanita ratu berlagak korban kasar dibalik kasar teriak kdrt,"['mana', 'mana', 'wanita', 'ratu', 'berlagak', 'korban', 'mulai', 'kasar', 'dibalik', 'kasar', 'teriak', 'kdrt']"
di negara dengan pemerintahan betulan si miftah tu jangankan jadi pejabat penting negara tampil di publik saja mungkin dilarang yang ada masuk penjara karena deretan perilaku pelecehan dan bahkan kdrt di depan publik,negatif,negara pemerintahan betulan si miftah tu jangankan pejabat penting negara tampil publik mungkin dilarang ada masuk penjara deretan perilaku pelecehan kdrt depan publik,negara pemerintahan betulan si miftah tu pejabat negara tampil publik dilarang masuk penjara deretan perilaku pelecehan kdrt publik,"['negara', 'pemerintahan', 'betulan', 'si', 'miftah', 'tu', 'jangankan', 'pejabat', 'penting', 'negara', 'tampil', 'publik', 'mungkin', 'dilarang', 'ada', 'masuk', 'penjara', 'deretan', 'perilaku', 'pelecehan', 'kdrt', 'depan', 'publik']"
itulah sebabnya seseorang bisa menjadi homofobia karena mayoritas laki laki cisgender heteruseksual adalah pelaku kekerasan seksual pembunuhan korupsi dan kekerasan dalam rumah tangga tidak semua laki laki tetapi hampir selalu laki laki,negatif,sebabnya seseorang menjadi homofobia mayoritas laki laki cisgender heteruseksual pelaku kekerasan seksual pembunuhan korupsi kekerasan rumah tangga laki laki hampir selalu laki laki,homofobia mayoritas laki laki cisgender heteruseksual pelaku kekerasan seksual pembunuhan korupsi kekerasan rumah tangga laki laki laki laki,"['sebabnya', 'seseorang', 'menjadi', 'homofobia', 'mayoritas', 'laki', 'laki', 'cisgender', 'heteruseksual', 'pelaku', 'kekerasan', 'seksual', 'pembunuhan', 'korupsi', 'kekerasan', 'rumah', 'tangga', 'laki', 'laki', 'hampir', 'selalu', 'laki', 'laki']"
salah goblok kamu kira nikah modal cinta doang cukup noh banyak kasus cerai kdrt anak kamu yang jadi korban karena apa finansial,negatif,salah goblok kira nikah modal cinta doang cukup noh banyak kasus cerai kdrt anak korban apa finansial,salah goblok nikah modal cinta doang noh cerai kdrt anak korban finansial,"['salah', 'goblok', 'kira', 'nikah', 'modal', 'cinta', 'doang', 'cukup', 'noh', 'banyak', 'kasus', 'cerai', 'kdrt', 'anak', 'korban', 'apa', 'finansial']"
